Epoch,Error,w1,w2
399,1052155868.2359688,8905.775422557426,28070.655532158653
400,1052155868.6625117,8905.7754165154,28070.655595700468
401,1052155869.0717485,8905.775410718514,28070.655656664207
402,1052155869.4643807,8905.775405156824,28070.655715154473
403,1052155869.8410828,8905.775399820788,28070.65577127163
404,1052155870.2025001,8905.775394701248,28070.65582511197
405,1052155870.5492557,8905.775389789424,28070.65587676785
406,1052155870.8819416,8905.775385076888,28070.6559263279
407,1052155871.2011284,8905.77538055555,28070.65597387716
408,1052155871.5073669,8905.775376217656,28070.656019497208
409,1052155871.8011795,8905.775372055763,28070.656063266328
410,1052155872.0830714,8905.77536806273,28070.6561052596
411,1052155872.3535253,8905.775364231707,28070.656145549096
412,1052155872.6130077,8905.77536055612,28070.656184203937
413,1052155872.8619614,8905.775357029657,28070.656221290443
414,1052155873.100815,8905.775353646273,28070.656256872255
415,1052155873.3299769,8905.775350400165,28070.65629101041
416,1052155873.54984,8905.77534728576,28070.656323763465
417,1052155873.7607843,8905.775344297715,28070.656355187642
418,1052155873.9631698,8905.775341430906,28070.65638533685
419,1052155874.1573437,8905.775338680409,28070.656414262823
420,1052155874.3436402,8905.775336041508,28070.656442015184
421,1052155874.5223769,8905.775333509673,28070.656468641566
422,1052155874.6938621,8905.775331080564,28070.656494187635
423,1052155874.8583899,8905.77532875001,28070.656518697226
424,1052155875.0162424,8905.775326514013,28070.6565422124
425,1052155875.1676903,8905.775324368737,28070.656564773482
426,1052155875.3129926,8905.775322310501,28070.656586419216
427,1052155875.4524007,8905.775320335772,28070.656607186713
428,1052155875.5861521,8905.775318441165,28070.656627111617
429,1052155875.7144771,8905.775316623427,28070.656646228108
430,1052155875.8375958,8905.77531487944,28070.65666456899
431,1052155875.9557195,8905.77531320621,28070.656682165732
432,1052155876.0690502,8905.77531160087,28070.656699048523
433,1052155876.1777829,8905.775310060662,28070.65671524633
434,1052155876.2821038,8905.775308582944,28070.65673078694
435,1052155876.3821917,8905.775307165182,28070.656745697037
436,1052155876.4782192,8905.775305804942,28070.656760002184
437,1052155876.5703504,8905.775304499892,28070.656773726925
438,1052155876.658744,8905.77530324779,28070.656786894822
439,1052155876.7435508,8905.775302046493,28070.65679952845
440,1052155876.8249161,8905.775300893933,28070.656811649504
441,1052155876.902981,8905.775299788136,28070.656823278765
442,1052155876.9778787,8905.775298727203,28070.656834436202
443,1052155877.0497379,8905.775297709317,28070.656845140948
444,1052155877.1186805,8905.775296732729,28070.65685541138
445,1052155877.184827,8905.775295795762,28070.656865265104
446,1052155877.2482888,8905.775294896812,28070.656874719043
447,1052155877.3091766,8905.775294034334,28070.65688378941
448,1052155877.3675938,8905.77529320685,28070.65689249176
449,1052155877.4236397,8905.77529241294,28070.65690084103
450,1052155877.477414,8905.775291651238,28070.65690885155
451,1052155877.5290048,8905.775290920445,28070.65691653705
452,1052155877.578503,8905.775290219299,28070.656923910745
453,1052155877.625992,8905.775289546602,28070.65693098525
454,1052155877.6715562,8905.775288901199,28070.65693777273
455,1052155877.715269,8905.77528828198,28070.65694428482
456,1052155877.7572107,8905.775287687888,28070.656950532695
457,1052155877.7974498,8905.775287117896,28070.65695652708
458,1052155877.8360553,8905.77528657103,28070.65696227826
459,1052155877.8730963,8905.775286046353,28070.6569677961
460,1052155877.9086341,8905.775285542964,28070.656973090066
461,1052155877.942729,8905.775285059999,28070.656978169238
462,1052155877.9754406,8905.775284596628,28070.65698304233
463,1052155878.0068253,8905.77528415206,28070.65698771771
464,1052155878.0369372,8905.775283725527,28070.65699220339
465,1052155878.0658274,8905.7752833163,28070.656996507085
466,1052155878.093545,8905.775282923676,28070.657000636158
467,1052155878.1201373,8905.775282546983,28070.657004597702
468,1052155878.1456525,8905.775282185574,28070.65700839851
469,1052155878.1701301,8905.775281838827,28070.65701204511
470,1052155878.1936157,8905.77528150615,28070.65701554377
471,1052155878.2161493,8905.775281186969,28070.657018900478
472,1052155878.2377677,8905.775280880738,28070.657022120995
473,1052155878.2585094,8905.775280586933,28070.657025210847
474,1052155878.2784086,8905.775280305048,28070.657028175327
475,1052155878.2975013,8905.7752800346,28070.65703101953
476,1052155878.3158205,8905.775279775124,28070.657033748343
477,1052155878.3333949,8905.775279526175,28070.657036366447
478,1052155878.3502562,8905.775279287329,28070.65703887832
479,1052155878.3664334,8905.77527905817,28070.657041288265
480,1052155878.3819556,8905.775278838313,28070.657043600448
481,1052155878.3968468,8905.775278627374,28070.657045818825
482,1052155878.4111338,8905.775278424993,28070.65704794719
483,1052155878.4248409,8905.775278230823,28070.657049989197
484,1052155878.4379927,8905.775278044532,28070.65705194835
485,1052155878.4506102,8905.7752778658,28070.657053828007
486,1052155878.462716,8905.77527769432,28070.657055631407
487,1052155878.4743313,8905.775277529796,28070.65705736164
488,1052155878.4854747,8905.775277371948,28070.657059021672
489,1052155878.4961655,8905.775277220504,28070.65706061435
490,1052155878.5064234,8905.775277075205,28070.657062142418
491,1052155878.5162642,8905.775276935801,28070.657063608476
492,1052155878.5257068,8905.775276802055,28070.657065015053
493,1052155878.5347652,8905.77527667373,28070.65706636457
494,1052155878.543457,8905.775276550616,28070.657067659322
495,1052155878.5517964,8905.775276432494,28070.65706890156
496,1052155878.5597969,8905.775276319167,28070.657070093388
497,1052155878.5674717,8905.775276210436,28070.65707123687
498,1052155878.5748377,8905.775276106117,28070.657072333954
499,1052155878.5819027,8905.775276006032,28070.657073386516
500,1052155878.5886815,8905.77527591001,28070.657074396357
501,1052155878.5951859,8905.77527581788,28070.657075365252
502,1052155878.6014261,8905.77527572949,28070.657076294836
503,1052155878.6074123,8905.775275644684,28070.657077186686
504,1052155878.6131562,8905.77527556332,28070.657078042364
505,1052155878.6186671,8905.775275485255,28070.657078863336
506,1052155878.6239548,8905.77527541036,28070.65707965098
507,1052155878.6290272,8905.775275338503,28070.657080406672
508,1052155878.6338938,8905.775275269563,28070.657081131703
509,1052155878.6385645,8905.775275203418,28070.657081827318
510,1052155878.6430452,8905.775275139957,28070.657082494712
511,1052155878.647343,8905.775275079071,28070.657083135025
512,1052155878.6514668,8905.775275020655,28070.657083749364
513,1052155878.655423,8905.775274964608,28070.657084338785
514,1052155878.6592187,8905.775274910839,28070.65708490428
515,1052155878.6628603,8905.775274859247,28070.657085446834
516,1052155878.6663562,8905.77527480975,28070.65708596738
517,1052155878.6697091,8905.775274762262,28070.6570864668
